"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-170834","R-HSA-170834","Signaling by TGF-beta Receptor Complex","70/4633","94/11146",0.74468085106383,1.79154171507823,6.49976932125747,8.27298166883661e-11,1.2168803945616e-08,7.5288091550848e-09,"23370/25805/867/892/8812/904/905/1024/1025/1030/57530/1278/1874/1875/2033/2200/2280/5045/8516/3685/3694/3696/4052/4054/5594/5595/9110/4609/9611/9612/23327/142/56937/5494/5500/5501/23645/5933/387/54778/5054/6497/6498/4087/4088/4089/4092/57154/64750/6667/6772/7027/7029/7042/7046/7048/7049/7050/60436/51592/7314/7316/7321/7323/51377/9958/8239/25937/7514/9372",70
"R-HSA-9013148","R-HSA-9013148","CDC42 GTPase cycle","104/4633","155/11146",0.670967741935484,1.6142038531433,6.49442086398785,9.53880474612508e-11,1.28614883993587e-08,7.95737132768856e-09,"29/116984/84364/26286/392/57569/57584/83478/23092/257106/9743/2909/80728/394/396/9639/9826/23365/22899/26084/50649/8874/23229/613/857/998/8476/9578/10435/10602/56990/144402/23002/81624/10395/23268/55619/57572/23348/1894/51306/10160/121512/91010/54874/9815/10672/101059918/8826/10788/128239/6453/3728/51133/3895/55004/3930/4296/23263/4650/4983/5058/5062/5063/10298/57144/56924/5295/5296/57480/64857/26030/25894/153478/57580/7879/29127/10928/5924/23513/9644/8773/221178/57522/9901/90627/55240/2040/85360/117289/7037/7074/7112/7204/9341/81839/7410/10451/8976/124997/7456/147179/644150/10652",104
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","165/4633","273/11146",0.604395604395604,1.4540456306051,6.40599768872274,1.6175858834767e-10,2.01327227651177e-08,1.24560661958408e-08,"26523/27161/192669/192670/207/208/10000/1386/627/648/84733/8535/23466/57332/940/941/1026/1027/1107/1108/1147/100532731/1385/1457/1956/1958/2065/2066/2069/2099/2146/8817/2247/2250/2252/2254/2260/2263/2261/2308/2309/2444/10818/2534/2549/54815/57459/2885/2932/1839/3066/51564/3082/8870/3556/3643/3654/51135/3667/8660/3725/3815/55004/8649/389541/10542/84232/5594/5595/79109/53615/4193/2122/4233/23608/4343/9112/9219/2475/4615/4734/3164/3084/4915/4916/23252/5154/5155/5156/5170/1912/80012/23239/23035/118788/5290/5291/5295/5296/8503/5305/8396/79837/23396/5371/5468/5515/5516/5518/5519/5525/5527/5528/5529/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5728/5879/5928/5931/23186/5978/6009/253260/81847/6045/6199/10670/58528/57167/6446/153129/6801/23512/7039/8658/80351/27327/23112/57690/7157/57761/7314/7316/8975/7874/11060/331",165
"R-HSA-8986944","R-HSA-8986944","Transcriptional Regulation by MECP2","50/4633","62/11146",0.806451612903226,1.94014886195108,6.2607283200331,3.1832519662514e-10,3.67892977242483e-08,2.2761448269963e-08,"26523/27161/192669/192670/9212/627/801/805/808/815/817/818/1385/28514/2289/2290/2571/2572/2891/2903/2904/3066/28996/3064/3654/3930/4204/4208/4233/4336/4343/9611/9612/4986/4988/5468/5566/5728/5770/5775/54715/6446/25942/6515/6907/79718/27327/23112/57690/7222",50
"R-HSA-2173793","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","43/4633","51/11146",0.843137254901961,2.02840661410258,6.20821778034399,3.66895688779272e-10,3.79309435699727e-08,2.34677817546315e-08,"892/8812/904/905/1024/1025/1030/1278/1874/1875/2033/5045/5594/5595/4609/9611/9612/23327/142/5494/5933/54778/5054/6497/6498/4087/4088/4089/4092/64750/6667/6772/7027/7029/7050/60436/51592/7314/7316/7321/7323/8239/25937",43
"R-HSA-983168","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","182/4633","309/11146",0.588996763754045,1.41699933710395,6.26961272236412,3.75089676835329e-10,3.79309435699727e-08,2.34677817546315e-08,"64682/10393/51529/25847/9870/51665/140456/79754/51130/140459/140460/10533/642/8945/868/899/991/8697/996/997/8454/8453/8452/8065/9820/151636/6921/144699/54620/84961/26224/26234/26267/80204/23014/26263/84085/79791/114907/150726/26268/23291/26190/54461/55294/8139/100302652/57531/25831/143279/57520/8925/26091/10075/83737/89890/84078/84541/9817/55175/11275/27252/26249/57542/51088/55958/4008/4012/91694/122769/10489/90678/26046/51320/23608/29116/4734/23327/9520/387522/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5930/25898/51132/54778/55905/27246/63891/51444/255488/221687/25897/57674/154214/55182/80196/6047/10193/6049/9616/57630/6477/6500/6502/57154/64750/9021/80176/92369/7064/81559/22954/55521/4591/90933/140691/131405/114088/9320/9039/79876/55236/7314/7316/7319/7320/11065/7321/7322/7323/7324/7325/10477/7326/7327/7328/51465/3093/7332/7334/63893/55585/92912/54926/27338/7335/7336/55284/65264/7337/89910/9690/9354/22888/197131/23304/23352/64718/7428/26118/11059/7704/84937/223082",182
"R-HSA-9013406","R-HSA-9013406","RHOQ GTPase cycle","48/4633","59/11146",0.813559322033898,1.95724847903946,6.21762198360361,4.07541218595582e-10,3.8788334805156e-08,2.39982476089411e-08,"392/57584/23092/9743/2909/394/8874/23229/200894/857/998/8476/9578/10435/10602/144402/81624/10395/54438/9815/2697/57120/8826/128239/6453/3728/55004/143098/4983/5058/5062/10298/26030/57580/7879/23513/6510/9497/8773/55240/2040/85360/7037/9322/9341/81839/8976/11060",48
"R-HSA-9013106","R-HSA-9013106","RHOC GTPase cycle","57/4633","74/11146",0.77027027027027,1.85310434544192,6.20991453049632,5.09178042566162e-10,4.38255500827918e-08,2.71147603465845e-08,"5825/29/91452/11214/54443/392/93663/57584/23092/9743/2909/80728/394/396/9639/9826/23365/9828/613/708/857/11113/23002/1729/81624/10395/55914/10211/2319/91010/8826/128239/3728/3930/3998/55219/23263/4650/4983/5295/5586/57580/29127/387/389/6093/9475/6242/9748/90627/2040/7037/7112/9341/81839/9217/7410",57
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","91/4633","134/11146",0.67910447761194,1.63377908643701,6.22497840842091,5.37886246278973e-10,4.38255500827918e-08,2.71147603465845e-08,"116/117/160/163/1173/1175/429/1386/627/673/8851/1108/1211/1213/1385/1398/1399/1759/26052/1795/1845/1846/1848/1849/1958/1960/2033/2152/2353/2354/8061/10818/5045/2534/2549/2885/2904/3400/3667/8660/3727/57498/3845/5604/5594/5603/1432/5595/5598/4205/4208/4209/4664/4803/4893/4915/4916/5125/5046/5290/5291/5295/5296/5335/5515/5516/5518/5519/5528/5800/5879/5899/5900/5906/2889/5978/387/6016/6196/6197/9252/6446/6456/6464/6654/6722/6774/6938/7074/10221/7529",91
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation","180/4633","306/11146",0.588235294117647,1.41516740518785,6.21083467874899,5.41724970121036e-10,4.38255500827918e-08,2.71147603465845e-08,"10121/144245/79868/85365/10195/79053/79796/51005/267/287/288/23243/372/375/377/378/84364/26286/432/2683/8704/8703/9334/9331/51272/811/821/829/830/832/1604/966/9486/10175/9382/83548/10466/84342/1314/1315/22820/26958/22818/1453/5476/1075/1639/10540/51164/84516/1650/79139/51009/79947/57171/1798/8813/54344/1778/1780/1783/140735/9695/80267/64772/8790/2530/23193/8729/2673/9945/2720/10020/2804/9527/9570/2890/3098/10945/11014/3998/81562/84061/4121/10905/57134/4124/10299/90411/4245/4247/11320/11282/4249/375056/9761/9526/4351/55577/63908/8774/4905/116150/5238/5537/22870/55291/10113/5589/5861/81876/5887/91869/7844/11236/6185/51128/23256/9919/9117/10484/11196/10802/10427/9632/9871/22872/25956/6400/5265/26503/10559/55343/6711/6712/57731/79644/6482/6487/8869/10402/6480/84620/55808/10610/256435/30815/6489/8128/51046/29906/3703/55014/84447/128637/10342/7039/10972/10959/23423/51014/100302736/54732/11070/58485/7109/6399/122553/83696/10206/7846/10383/7314/7316/51035/56886/7369/8615/7415/10652",180
"R-HSA-983169","R-HSA-983169","Class I MHC mediated antigen processing & presentation","215/4633","381/11146",0.564304461942257,1.35759497794267,5.99000974763078,1.99030719172628e-09,1.53348430295863e-07,9.48762977108618e-08,"64682/10393/51529/25847/9870/51665/140456/79754/51130/140459/140460/22863/10533/567/8678/642/8945/811/821/868/899/991/8697/996/997/1147/1520/1515/8454/8453/8452/8065/9820/151636/6921/51752/144699/54620/84961/26224/26234/26267/80204/23014/26263/84085/79791/114907/150726/26268/23291/26190/54461/55294/2266/8139/100302652/57531/25831/143279/57520/8925/26091/3105/3309/10075/3551/83737/3685/89890/84078/84541/9817/55175/11275/27252/26249/57542/51088/55958/4008/4012/91694/122769/10489/90678/26046/51320/23608/4615/29116/4734/23327/9520/387522/5289/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5930/25898/51132/54778/55905/27246/63891/51444/255488/221687/25897/57674/154214/55182/80196/6047/10193/6049/9616/6279/51128/10484/10802/10427/9632/9871/22872/29927/55176/10952/57630/6477/6500/6502/57154/64750/8773/9021/80176/92369/6810/6891/6892/7064/81559/22954/55521/4591/90933/140691/131405/114088/9320/9039/79876/55236/7314/7316/7319/7320/11065/7321/7322/7323/7324/7325/10477/7326/7327/7328/51465/3093/7332/7334/63893/55585/92912/54926/27338/7335/7336/55284/65264/7337/89910/9690/9354/22888/197131/23304/23352/64718/9341/8673/7428/26118/11059/7704/84937/223082",215
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","79/4633","115/11146",0.68695652173913,1.65266941318894,5.93356064664307,3.23541339673514e-09,2.37949948905339e-07,1.47219049774886e-07,"116/117/160/163/1173/1175/429/1386/673/8851/1108/1211/1213/1385/1398/1399/1759/26052/1845/1846/1848/1849/1958/1960/2033/2152/2353/2354/8061/10818/2885/3400/3667/8660/3727/57498/3845/5604/5594/5603/1432/5595/5598/4205/4208/4209/4664/4803/4893/4915/5290/5291/5295/5296/5335/5515/5516/5518/5519/5528/5899/5900/5906/2889/5978/387/6016/6196/6197/9252/6446/6456/6464/6654/6722/6774/6938/10221/7529",79
"R-HSA-1655829","R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","44/4633","55/11146",0.8,1.92462767105547,5.7975369576255,6.04649381652902e-09,4.10990258646364e-07,2.54278665000776e-07,"31/10498/80205/1387/1595/79071/2194/2222/2224/57678/3156/3157/3638/51141/3837/4047/51360/5469/4520/4598/8648/10499/4800/4801/4802/5465/5901/6256/51128/6309/6319/10484/10802/10427/9632/9871/6667/6713/6720/6721/6907/79718/96764/7108",44
"R-HSA-9013026","R-HSA-9013026","RHOB GTPase cycle","53/4633","70/11146",0.757142857142857,1.82152261724893,5.81510710757635,6.09627083282617e-09,4.10990258646364e-07,2.54278665000776e-07,"29/11214/54443/392/57584/23092/9743/2909/80728/394/9639/9826/23365/9828/50650/613/857/11113/23002/1729/81624/10395/1894/55914/10211/2319/128239/3728/23263/4649/4650/10276/4983/5099/5295/5296/5586/57580/29127/388/85415/6093/9475/6242/9748/8773/65124/90627/2040/7037/9341/81839/7410",53
"R-HSA-9679506","R-HSA-9679506","SARS-CoV Infections","229/4633","414/11146",0.553140096618358,1.33073591990248,5.78391431370349,6.57484977579204e-09,4.25524277489261e-07,2.63270826811715e-07,"8086/375790/207/208/10000/63982/121601/203859/196527/57719/160/163/1173/1175/5926/51742/22863/477/481/482/483/567/598/8678/29760/23476/821/857/1107/1108/27243/51652/91782/1147/7555/1312/1387/1452/8452/10800/1650/1655/1915/2033/2280/2339/2342/5045/2530/10146/9908/2589/23193/54815/57459/8487/50628/25929/54960/2697/51125/2719/2239/10082/2885/2932/3066/3105/3178/3320/3326/3339/3454/3455/3459/3460/3551/3554/3570/3614/3615/3654/3661/83737/3676/3716/3718/9817/3838/3837/23367/84061/4124/6885/57506/53615/4245/4247/11320/11282/4249/9112/9219/4690/55706/4780/4790/114548/4869/2908/8829/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/64398/54956/56965/79668/5094/5170/387522/51317/5289/9883/9360/10465/5589/10728/5777/8480/5903/5925/5928/5931/11123/23186/5978/8767/100526767/6093/9475/6185/6208/6217/6228/6230/6235/6193/6194/3921/861/1901/79685/51128/6382/6383/6385/10484/10802/10427/9632/9871/81929/30011/10280/80143/4088/4089/6628/6632/6634/6654/6667/6732/6733/6482/6487/6480/10610/256435/6772/6773/3703/64426/7341/23118/257397/29110/7082/7113/7175/7187/7706/203068/7297/7314/7316/7329/7334/7335/7405/7415/7422/7428/65082/26276/27072/7529/7531/7532/7533/10971/7534/85437/253832/51304/25921/29801/51114",229
"R-HSA-9013408","R-HSA-9013408","RHOG GTPase cycle","55/4633","74/11146",0.743243243243243,1.7880831403387,5.73661237406229,9.96424323081487e-09,6.20082521056094e-07,3.83643534919228e-07,"23141/26286/392/57584/9743/2909/80728/394/396/26084/857/998/23191/81624/1793/1795/9732/80005/1829/63916/2010/1969/55914/10788/6453/8997/3895/55004/3930/23592/3954/3998/4296/23263/143098/4698/4983/5062/10298/10424/5295/26030/57580/7879/6472/7037/7112/7204/9341/81839/9217/7410/10451/7444/10652",55
"R-HSA-8980692","R-HSA-8980692","RHOA GTPase cycle","95/4633","147/11146",0.646258503401361,1.55475874787644,5.71040450237297,1.19367425300469e-08,7.15320348652439e-07,4.42566945266066e-07,"8086/5825/29/91452/11214/54443/116984/392/9824/93663/57569/57584/57636/83478/23092/257106/9743/2909/80728/394/396/9639/9826/23365/22899/9828/23370/50650/50649/8874/613/708/857/11113/23002/1729/81624/10395/1894/55914/23197/10144/10160/10211/2319/91010/3163/8826/128239/3728/8997/3895/3930/3998/55219/23263/4649/4650/10276/4983/5099/10424/5295/5296/5586/26030/25894/57580/29127/5924/387/85415/6093/9475/6242/23256/9748/8773/65124/57522/90627/2040/117289/55852/7037/7074/25963/7112/7204/9341/81839/9217/7410/10451/10652",95
"R-HSA-2990846","R-HSA-2990846","SUMOylation","116/4633","189/11146",0.613756613756614,1.47656620266161,5.57299891230532,2.51764434987055e-08,1.42079592849756e-06,8.79042956217018e-07,"8086/367/6790/9212/332/648/672/9994/84733/8535/23468/57332/55143/1029/1107/100532731/1387/1487/10521/1655/1786/1788/1789/5610/2033/2099/3066/9759/51564/28996/3183/3190/3622/9656/4193/4286/57591/9112/8648/10499/9612/55706/4869/7181/2908/4306/4929/2494/8204/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/142/5111/5241/1912/80012/8554/9063/51588/5371/9883/5465/5468/10891/5885/8480/5903/5905/165918/6045/6095/6256/6304/23314/81929/29843/59343/205564/25942/8243/9126/6670/10735/7341/6612/23512/6996/7020/7022/7067/7068/7150/7153/7155/10210/7157/7158/7175/10155/10054/7329/115426/7428/9189/7690",116
"R-HSA-400253","R-HSA-400253","Circadian Clock","52/4633","70/11146",0.742857142857143,1.78715426598008,5.57183243741764,2.60169275616862e-08,1.42079592849756e-06,8.79042956217018e-07,"1386/8553/79365/406/56938/8945/10498/80205/9575/1374/1385/1387/1390/23373/200186/1408/1453/8454/2033/26224/3091/5469/4208/4209/10135/8648/10499/9611/4783/4862/2908/8204/5187/8864/5465/10891/5500/5501/10743/5936/6095/6256/5054/150094/23411/6500/6720/6907/79718/96764/7314/7316",52
"R-HSA-6802957","R-HSA-6802957","Oncogenic MAPK signaling","60/4633","84/11146",0.714285714285714,1.71841756344239,5.57417250200286,2.63435586248002e-08,1.42079592849756e-06,8.79042956217018e-07,"60/71/55109/55750/10142/408/10533/10018/673/801/805/808/815/817/818/1185/22866/1445/11221/80824/1848/1849/1850/1852/54845/9715/2266/2335/8087/8826/80853/57670/3845/8844/283455/4000/5604/4296/5594/5595/4140/23164/22808/4763/4893/5500/5501/9444/5894/5906/5908/8036/161742/399473/11044/7094/22906/7414/7529/56829",60
