Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Autophagy	92/137	5.88311849217481e-12	1.70610436273069e-10	0	0	3.33206819953808	86.1637321178281	IRS1;MTMR14;IRS4;PTEN;IRS2;PIK3CB;ZFYVE1;IGF1R;STK11;DEPTOR;TBK1;AKT2;RB1CC1;AKT3;LAMP2;AKT1;SUPT20H;PRKACA;MAP3K7;PRKACB;CTSD;RAB8A;SH3GLB1;ATG3;RUBCN;GABARAPL1;MAP2K1;DAPK1;PDPK1;ATG9A;PRKCD;RRAS2;TSC1;WIPI2;ATG14;ATG13;ERN1;VAMP8;RRAGA;MRAS;PIK3CA;DDIT4;RRAGD;ULK2;PRKCQ;ULK1;PIK3C3;SMCR8;RAF1;SQSTM1;RAB7A;BECN1;RAB1A;PRKAA1;MTMR3;PRKAA2;STX17;ITPR1;PIK3R3;PIK3R2;PIK3R1;AMBRA1;MTMR4;HIF1A;CAMKK2;PPP2CA;MAPK9;PPP2CB;MAPK8;NRAS;TP53INP2;MAPK1;NRBF2;ATG7;ATG5;MAPK3;UVRAG;RAB39B;EIF2AK4;CFLAR;EIF2S1;MTOR;MAPK10;VMP1;RPS6KB1;ATG16L1;RHEB;RPS6KB2;BCL2;KRAS;ATG2B;BCL2L1
Protein processing in endoplasmic reticulum	109/171	1.09056249650701e-11	2.74578488129959e-10	0	0	2.8678194130539	72.3887588968568	UBXN2A;UBE2D2;UBE2D3;UBE2D1;CAPN2;SEC62;MAP3K5;SEC63;SKP1;DNAJB12;UBE4B;YOD1;PDIA6;PDIA4;ERN1;DNAJB11;PLAA;PREB;ATF6;VCP;RPN2;SAR1A;SAR1B;HSPA4L;SEL1L;CUL1;HSP90B1;UBE2J1;ATXN3;HSPH1;SSR1;MAP2K7;SEC31B;SEC31A;TXNDC5;EDEM3;HSPA8;XBP1;HSPA5;WFS1;EDEM1;EIF2AK1;EIF2AK2;EIF2AK4;HSPA2;EIF2S1;NPLOC4;DNAJC10;BCL2;STT3A;HYOU1;CALR;STT3B;NFE2L2;TRAM1;HSP90AB1;UBXN1;PRKCSH;HERPUD1;SEC61A2;SEC61A1;MAN1A2;UBXN8;MAN1A1;SEC61B;UBXN4;HSP90AA1;SSR3;RAD23B;CKAP4;DDOST;DNAJC3;DNAJC1;DNAJC5;CANX;PPP1R15A;SEC23A;DERL3;DERL1;DERL2;RRBP1;DNAJB1;LMAN1;MAPK9;GANAB;MAPK8;MAN1C1;UBQLN1;SEC23B;UGGT1;MARCHF6;UBQLN2;SEC24B;SEC24A;DNAJC5B;AMFR;SYVN1;UBE2G1;UBE2G2;SVIP;DNAJA1;MAPK10;DNAJA2;P4HB;SEC24D;SEC24C;HSPA1B;MBTPS2;HSPA1A
Prostate cancer	70/97	1.11897189520046e-11	2.74578488129959e-10	0	0	4.21933748930449	106.394922609115	RB1;GSK3B;CDKN1A;CDKN1B;HSP90AB1;PTEN;PIK3CB;IGF1R;IKBKB;CCND1;PLAU;AKT2;AKT3;CREB3L2;AKT1;EP300;NKX3-1;PDGFRA;MAP2K1;HSP90AA1;CHUK;PDPK1;MMP9;AR;CREB1;ZEB1;CCNE2;PIK3CA;CCNE1;ERG;RAF1;SOS1;TP53;SOS2;CREB5;GSTP1;LEF1;PDGFB;PDGFA;PIK3R3;TGFA;TMPRSS2;PIK3R2;PIK3R1;FOXO1;EGFR;HSP90B1;NRAS;PDGFD;PDGFC;E2F1;E2F2;MAPK1;E2F3;MAPK3;TCF7L2;CREBBP;TCF7L1;BRAF;IGF1;NFKB1;MTOR;CDK2;BCL2;MDM2;CTNNB1;GRB2;KRAS;FGFR2;FGFR1
mTOR signaling pathway	100/154	1.54372255325168e-11	3.51748210348062e-10	0	0	3.01916893699531	75.1599139472288	IRS1;FZD10;IGF1R;RPS6KA3;RPS6KA6;STK11;DEPTOR;AKT2;RPS6KA2;AKT3;SESN2;AKT1;ATP6V1E1;SKP2;ATP6V1G1;MAP2K1;WNT5B;PRKCB;RPS6;WNT5A;TSC1;CLIP1;RRAGA;DDIT4;RRAGD;ULK2;ULK1;RAF1;TELO2;ATP6V1A;SEH1L;MAPKAP1;PIK3R3;PIK3R2;PIK3R1;EIF4EBP1;DVL3;SLC38A9;ATP6V1D;ATP6V1C1;WNT4;WNT10B;FZD3;FZD2;FZD4;WNT3A;INSR;FZD6;FZD8;BRAF;IGF1;RHEB;GRB2;GSK3B;WNT2B;PTEN;PIK3CB;IKBKB;FLCN;RNF152;CHUK;MIOS;PDPK1;STRADA;STRADB;WNT9A;RHOA;TTI1;SLC7A5;PIK3CA;TBC1D7;ATP6V1B2;EIF4E2;SGK1;SOS1;SOS2;PRKAA1;PRKAA2;CAB39;LRP6;NRAS;MAPK1;RICTOR;FNIP1;EIF4E;FNIP2;EIF4B;MAPK3;WNT7A;MTOR;RPS6KB1;CASTOR2;RPS6KB2;KRAS;LAMTOR1;LAMTOR4;LPIN1;LAMTOR3;LPIN2;LAMTOR5
Adherens junction	55/71	1.7180377691441e-11	3.65369365571312e-10	0	0	5.5883152173913	138.518984340092	CTNND1;PTPRJ;WASL;ACTB;PTPRF;ACTG1;IGF1R;CDH1;EP300;RAC1;ACP1;MAP3K7;CSNK2A1;LMO7;ACTN4;RHOA;TGFBR1;TGFBR2;MET;SSX2IP;VCL;LEF1;IQGAP1;NLK;EGFR;CDC42;CTNNA1;MAPK1;CTNNA3;FYN;CTNNA2;WASF1;WASF2;WASF3;MAPK3;FARP2;PTPN1;TCF7L2;CREBBP;SMAD4;TCF7L1;SMAD3;YES1;INSR;SORBS1;TJP1;AFDN;FER;PTPRB;CTNNB1;PTPN6;NECTIN4;NECTIN3;FGFR1;NECTIN1
Regulation of actin cytoskeleton	131/218	4.26776531188817e-11	8.50885709057704e-10	0	0	2.45841173105223	58.7003467232726	CHRM2;CYFIP1;NCKAP1;ARPC5L;FGF2;ACTB;ARHGAP35;MYLK3;CRKL;MYLK;ACTG1;MYLK4;FGF5;PPP1CB;PPP1CC;FGF7;FGF9;CFL2;CFL1;PIP4K2A;PIP4K2B;PIP4K2C;PDGFRA;MAP2K1;F2R;ACTN4;TIAM1;SPATA13;EZR;RAF1;VCL;PFN2;PXN;LPAR1;PDGFB;PDGFA;PIK3R3;PIK3R2;IQGAP1;PIK3R1;IQGAP2;IQGAP3;MYL12A;SLC9A1;SCIN;PDGFD;PDGFC;MYH14;MYH11;PIP5K1C;MYH10;RDX;FN1;MSN;BRAF;ARPC5;GNG12;SSH2;PTK2;SSH1;DIAPH1;DIAPH2;CXCL12;DIAPH3;ARPC2;FGF18;ITGA11;FGFR3;FGFR2;FGFR1;ITGB4;ARPC1B;ARPC1A;BRK1;WASL;PIK3CB;BDKRB2;ITGB8;ITGAV;RAC1;ITGB6;VAV3;ACTR3;ACTR2;ARHGEF12;PPP1R12A;ITGA4;ITGA2;ITGA1;RRAS2;RHOA;VAV2;ENAH;MRAS;PIK3CA;ITGA8;ARHGEF4;MYH9;ITGA6;ITGA5;ARHGEF7;PPP1R12B;SOS1;CRK;DOCK1;PPP1R12C;SOS2;ITGA9;ROCK1;ROCK2;CXCR4;EGFR;CDC42;GNA13;NRAS;PAK1;GNA12;PAK6;MAPK1;PAK3;WASF1;PAK2;WASF2;PAK5;PAK4;MAPK3;GSN;LIMK1;PIKFYVE;ABI2;KRAS
Axon guidance	113/182	5.28460320469876e-11	9.91640248411119e-10	0	0	2.67134236917654	63.2136800964164	SEMA5A;RGS3;DPYSL5;CFL2;DPYSL2;CFL1;PLXNC1;EPHB2;EPHB4;EPHA5;EPHA4;EPHA7;SEMA6A;WNT5B;UNC5B;SEMA6D;WNT5A;SMO;RAF1;EPHA3;EPHA2;SEMA7A;PIK3R3;PIK3R2;PIK3R1;MYL12A;EFNB2;PPP3R1;ABL1;PLXNA2;PLXNA1;PLCG1;SRGAP3;SRGAP1;PLXNA4;WNT4;NTNG1;FZD3;PTCH1;NFATC3;NFATC2;L1CAM;SSH2;PTK2;SSH1;EFNA1;CXCL12;PLXNB2;BMPR1B;ROBO2;GSK3B;NRP1;BMPR2;LRRC4;ILK;PIK3CB;ROBO1;PPP3CA;PPP3CB;PPP3CC;RAC1;NEO1;NCK1;ARHGEF12;TRPC3;DCC;PDPK1;TRPC4;TRPC1;RHOA;RGMA;ENAH;PIK3CA;RASA1;MET;CAMK2D;ROCK1;SEMA3C;ROCK2;SEMA3D;SEMA3A;CAMK2A;GNAI3;NTN4;CXCR4;NTN1;GNAI1;GNAI2;CDC42;ABLIM1;NRAS;PAK1;PARD6B;ABLIM3;MAPK1;PAK6;FYN;LRIG2;SLIT2;PAK3;CAMK2G;PAK2;PAK5;MAPK3;PAK4;SEMA4D;RYK;SEMA4B;LIMK1;SEMA4C;SEMA4F;SEMA4G;KRAS
ErbB signaling pathway	62/85	7.99699368101041e-11	1.36610813483094e-09	0	0	4.383856337689	101.921899519982	GSK3B;CDKN1A;CDKN1B;CBLB;PIK3CB;CRKL;AKT2;MYC;AKT3;AKT1;NCK1;MAP2K4;MAP2K1;PRKCB;GAB1;NRG1;EREG;PIK3CA;RAF1;SOS1;CRK;SOS2;HBEGF;SHC4;CAMK2D;SHC1;CAMK2A;PIK3R3;TGFA;PIK3R2;PIK3R1;CBL;EGFR;MAPK9;MAPK8;NRAS;PAK1;ERBB3;ERBB4;ABL1;EIF4EBP1;ABL2;MAPK1;PAK6;PLCG1;MAP2K7;PAK3;CAMK2G;PAK2;PAK5;MAPK3;PAK4;STAT5B;JUN;BRAF;MTOR;PTK2;MAPK10;RPS6KB1;RPS6KB2;GRB2;KRAS
Cell cycle	83/124	8.13669421999619e-11	1.36610813483094e-09	0	0	3.29652756723283	76.5850999961712	RB1;CDKN1C;YWHAE;GSK3B;CDKN1A;CDKN1B;MCM7;YWHAB;BUB1B;SMC3;CDC14A;CDC20;CCND3;CCND2;CDC23;CCND1;YWHAQ;MYC;CDC27;CHEK1;EP300;SKP2;YWHAG;SKP1;YWHAH;SMC1A;YWHAZ;CDC25A;CDC25B;CCNA2;RBL2;DBF4;RBL1;TFDP1;CCNE2;ESPL1;TFDP2;CCNE1;MCM3;MCM6;TP53;ANAPC1;ANAPC13;HDAC2;PCNA;PRKDC;CUL1;TTK;PKMYT1;ANAPC10;ANAPC11;ORC4;CCNB1;ORC6;ORC3;RAD21;ABL1;E2F1;E2F2;E2F3;BUB3;E2F4;E2F5;BUB1;SMAD2;CREBBP;SMAD4;TGFB2;CDKN2B;SMAD3;CDKN2A;PLK1;CDC7;CDC6;MAD2L2;CDK7;WEE1;CDK6;STAG2;CDK4;CDK2;CDK1;MDM2
Neurotrophin signaling pathway	80/119	1.28041240346447e-10	2.04225778352582e-09	0	0	3.33953598725575	76.0701839111592	YWHAE;GSK3B;PRDM4;IRS1;FASLG;PIK3CB;CRKL;IKBKB;RPS6KA3;RPS6KA6;RPS6KA5;AKT2;ARHGDIA;RPS6KA2;AKT3;AKT1;RAC1;MAP3K5;MAP2K1;PDPK1;RIPK2;PRKCD;GAB1;FRS2;IRAK4;NGF;RHOA;PIK3CA;RAPGEF1;RAF1;SOS1;TP53;CRK;SOS2;SHC4;CAMK2D;MAGED1;SHC1;CAMK2A;PIK3R3;PIK3R2;PIK3R1;PSEN1;FOXO3;RAP1B;CDC42;MAPK9;MAPK8;NRAS;RAP1A;MAPK7;IRAK1;ABL1;MAPK1;PLCG1;MAP2K7;CAMK2G;SH2B3;MAPK3;SH2B1;MAP3K3;NTRK2;JUN;MAP3K1;BDNF;KIDINS220;SORT1;NTRK3;BRAF;MAPK14;NFKB1;MAPK13;MAPK10;BCL2;CALM3;GRB2;KRAS;CALM1;CALM2;TP73
Colorectal cancer	61/86	7.37177388573934e-10	1.11980755692898e-08	0	0	3.96693037974684	83.4173759079063	GSK3B;CDKN1A;PIK3CB;BBC3;CCND1;AKT2;CASP3;MYC;AKT3;AKT1;POLK;RAC1;APPL1;MAP2K1;DCC;AXIN2;FOS;RHOA;TGFBR1;EREG;TGFBR2;MSH6;MSH2;PIK3CA;BIRC5;RAF1;SOS1;SOS2;TP53;RALB;LEF1;PIK3R3;TGFA;PIK3R2;PIK3R1;EGFR;MAPK9;MAPK8;NRAS;BCL2L11;MAPK1;PMAIP1;RALGDS;MAPK3;SMAD2;TCF7L2;JUN;SMAD4;TCF7L1;TGFB2;SMAD3;BRAF;MTOR;MAPK10;RPS6KB1;RPS6KB2;BCL2;CTNNB1;CYCS;GRB2;KRAS
PI3K-Akt signaling pathway	191/354	1.03292529886705e-09	1.49774168335722e-08	0	0	1.91659931423981	39.6561091009528	CHRM2;ATF2;CRTC2;CSF1;IRS1;TNC;PPP2R2A;FGF2;IGF1R;FGF5;CCND3;FGF7;STK11;CCND2;PPP2R1B;CCND1;FGF9;PPP2R1A;AKT2;MYC;AKT3;CREB3L2;MYB;KDR;AKT1;IL6R;IFNAR2;MAGI1;PDGFRA;MAP2K1;HGF;F2R;MAGI2;RPS6;TSC1;PRLR;EREG;CCNE2;COL4A2;CCNE1;COL4A1;CDC37;DDIT4;COL4A6;MTCP1;COL4A5;RAF1;TP53;EPHA2;IFNAR1;LPAR1;PDGFB;PDGFA;PIK3R3;TGFA;LPAR3;PIK3R2;PIK3R1;FOXO3;HSP90B1;BCL2L11;PDGFD;PDGFC;EIF4EBP1;PCK2;MCL1;BDNF;INSR;FN1;IGF2;IGF1;GNG12;PTK2;NFKB1;COL1A1;EFNA1;NR4A1;G6PC2;IL6;COL1A2;CDK6;LPAR6;CDK4;RHEB;GNB2;CDK2;FGF18;GNB1;ITGA11;COL9A1;BCL2;GNB4;MDM2;GRB2;GNB5;FGFR3;FGFR2;BCL2L1;FGFR1;YWHAE;GSK3B;CDKN1A;CDKN1B;FLT1;HSP90AB1;ITGB4;YWHAB;PTEN;FASLG;LAMC2;BRCA1;LAMC1;PIK3CB;IKBKB;GHR;YWHAQ;PPP2R5E;ITGB8;ITGAV;RAC1;ITGB6;JAK3;YWHAG;JAK1;YWHAH;HSP90AA1;CHUK;ITGA4;PDPK1;ITGA2;ITGA1;PPP2R5A;PPP2R5D;PPP2R5C;OSMR;NGF;YWHAZ;RBL2;CREB1;PIK3CA;KIT;COL6A1;ITGA8;SGK3;ITGA6;ITGA5;SGK1;EIF4E2;SOS1;MET;SOS2;CREB5;ITGA9;PHLPP2;PRKAA1;PHLPP1;PRKAA2;LAMA3;THBS1;EGFR;PPP2CA;PPP2CB;NRAS;RELN;RXRA;GNG2;ERBB3;GNG5;ERBB4;MAPK1;EIF4E;EIF4B;MAPK3;ANGPT4;NTRK2;ANGPT1;LAMB3;OSM;VEGFC;LAMB1;MTOR;VEGFA;PPP2R2C;RPS6KB1;PPP2R2B;IL2RB;PPP2R2D;RPS6KB2;PKN2;KRAS;PIK3AP1
Thyroid hormone signaling pathway	79/121	1.40021155924623e-09	1.94203255391107e-08	0	0	3.06108467706406	62.4052389673937	GSK3B;THRB;THRA;SLC2A1;ATP2A2;PIK3CB;ACTB;ACTG1;MED17;MED14;MED13;CCND1;SIN3A;AKT2;MYC;AKT3;AKT1;EP300;ITGAV;PRKACA;SLC16A2;PRKACB;NCOA1;MED1;NCOA2;MAP2K1;PRKCB;PDPK1;NCOA3;DIO2;ATP1B3;ATP1B2;ATP1B1;KAT2B;MED24;NCOR1;PLCB4;PIK3CA;TBC1D4;RAF1;PLCB1;TP53;NOTCH2;PFKFB2;NOTCH3;HDAC2;NOTCH1;PIK3R3;GATA4;PIK3R2;ATP1A2;PIK3R1;HIF1A;FOXO1;MED12L;SLC9A1;NRAS;RXRA;MED30;MAPK1;PLCG1;WNT4;MAPK3;CREBBP;STAT1;SLC16A10;ESR1;MTOR;MED13L;BMP4;PFKL;RHEB;RCAN2;MDM2;CTNNB1;KRAS;PLCD3;PFKM;PFKP
Hippo signaling pathway	100/163	1.70788253852678e-09	2.21691609298493e-08	0	0	2.58596568735734	52.2055050745386	WWC1;SERPINE1;PPP2R2A;FZD10;ACTB;ACTG1;AMOT;PPP1CB;PPP1CC;CCND3;CCND2;RASSF2;CCND1;PPP2R1B;CDH1;PPP2R1A;MYC;RASSF6;BTRC;WNT5B;FBXW11;WNT5A;CSNK1D;SCRIB;FRMD6;AJUBA;LLGL2;STK3;TP53BP2;DVL3;WNT4;SMAD2;SMAD1;WNT10B;WWTR1;FZD3;SMAD4;TGFB2;FZD2;SMAD3;FZD4;WNT3A;FZD6;FZD8;GDF6;BMP6;SMAD7;BMP4;MOB1B;MOB1A;BMP2;DLG1;DLG2;DLG5;FAT4;NF2;BMPR1B;BMPR1A;PALS1;TP73;YWHAE;GSK3B;BMPR2;WNT2B;YWHAB;LIMD1;BBC3;GLI2;YWHAQ;TEAD1;YWHAG;YWHAH;TEAD4;AXIN2;WNT9A;YWHAZ;TGFBR1;TGFBR2;LATS1;LATS2;BIRC5;BIRC3;YAP1;LEF1;NKD1;PPP2CA;PPP2CB;PAK1;PARD6B;CTNNA1;CTNNA3;CTNNA2;TCF7L2;TCF7L1;BMP8A;WNT7A;PPP2R2C;PPP2R2B;PPP2R2D;CTNNB1
Signaling pathways regulating pluripotency of stem cells	90/143	1.73739505719822e-09	2.21691609298493e-08	0	0	2.76508122822572	55.7741187111765	GSK3B;BMPR2;WNT2B;RIF1;FZD10;PIK3CB;BMI1;FGF2;IGF1R;ZIC3;AKT2;MYC;AKT3;AKT1;SMARCAD1;HOXA1;JARID2;JAK3;JAK1;ACVR1;MAP2K1;LEFTY1;WNT5B;WNT5A;LIFR;PAX6;AXIN2;WNT9A;DUSP9;PIK3CA;KAT6A;HAND1;COMMD3-BMI1;HOXB1;IL6ST;RAF1;DLX5;HOXD1;PIK3R3;PIK3R2;PIK3R1;ACVR1B;NRAS;ACVR1C;DVL3;MAPK1;SKIL;WNT4;MAPK3;SMAD2;SMAD1;WNT10B;FZD3;SMAD4;ZFHX3;PCGF6;FZD2;SMAD3;FZD4;WNT3A;PCGF5;FZD6;PCGF3;STAT3;LIF;FZD8;WNT7A;INHBB;IGF1;KLF4;MAPK14;SMAD5;ACVR2B;ACVR2A;TBX3;MAPK13;BMP4;MEIS1;REST;ID4;CTNNB1;GRB2;KRAS;TCF3;BMPR1B;FGFR3;NEUROG1;FGFR2;BMPR1A;FGFR1
Bacterial invasion of epithelial cells	55/77	3.33355893793961e-09	4.09002038924129e-08	0	0	4.06225296442688	79.2920310556889	ARPC1B;ARPC1A;CLTC;ARPC5L;CLTA;ILK;PIK3CB;WASL;ACTB;SEPTIN11;ACTG1;CRKL;CDH1;RAC1;ACTR3;ACTR2;GAB1;DNM1;RHOA;CD2AP;DNM3;CTTN;PIK3CA;ELMO1;ELMO2;ITGA5;CRK;DOCK1;MET;VCL;SHC4;ARHGEF26;SHC1;PXN;PIK3R3;PIK3R2;PIK3R1;CBL;CDC42;CTNNA1;CTNNA3;CTNNA2;WASF1;WASF2;CAV2;SEPTIN2;CAV1;FN1;ARPC5;SEPTIN9;PTK2;SEPTIN8;MAD2L2;ARPC2;CTNNB1
Human cytomegalovirus infection	129/225	4.18254595955972e-09	4.941600596665e-08	0	0	2.19172847924428	42.2835834902588	RB1;ATF2;CRKL;TBK1;CCND1;AKT2;MYC;AKT3;CREB3L2;AKT1;PRKACA;B2M;PRKACB;IL6R;PDGFRA;MAP2K1;IL1R1;PRKCB;TAP2;TSC1;HLA-A;ADCY9;RAF1;TP53;PXN;ITPR1;PIK3R3;ITPR2;PIK3R2;ITPR3;PIK3R1;PPP3R1;EIF4EBP1;FADD;NFATC3;NFATC2;NFATC1;GNG12;PTK2;NFKB1;GNAO1;IL6;CDK6;CXCL12;CDK4;RHEB;SP1;GNAQ;GNB2;GNB1;GNAS;GNB4;MDM2;CYCS;CALM3;GRB2;CALR;GNB5;CALM1;CALM2;GSK3B;CDKN1A;CXCL8;FASLG;PIK3CB;IKBKB;AKAP13;PPP3CA;PPP3CB;PPP3CC;CASP8;CASP3;ITGAV;RAC1;CCR5;JAK1;ARHGEF11;ARHGEF12;CHUK;RHOA;TAPBP;PLCB4;CREB1;IRF3;PIK3CA;TRAF5;PLCB1;SOS1;CRK;SOS2;CREB5;PTGER4;ROCK1;ROCK2;PTGER3;GNAI3;ADCY3;CXCR4;ADCY2;ADCY1;PTGS2;ADCY7;ADCY6;EGFR;GNAI1;GNAI2;GNA13;NRAS;GNG2;GNG5;GNA12;E2F1;CCL2;E2F2;MAPK1;E2F3;BID;MAPK3;CDKN2A;STAT3;MAPK14;MTOR;VEGFA;MAPK13;RPS6KB1;RPS6KB2;CTNNB1;FAS;KRAS
Longevity regulating pathway	68/102	5.26527709551261e-09	5.9986549766733e-08	0	0	3.25221063745546	61.9940686679291	ATF2;IRS1;IRS4;EHMT1;PRKAG2;IRS2;PIK3CB;IGF1R;STK11;SESN3;AKT2;SESN1;RB1CC1;AKT3;CREB3L2;SESN2;AKT1;PRKACA;PRKACB;APPL1;PRKAB2;TSC1;ATG13;PRKAB1;SIRT1;ADCY9;CREB1;PIK3CA;ULK1;PPARG;EIF4E2;TP53;CREB5;HDAC2;PRKAA1;PRKAA2;PIK3R3;ADCY3;PIK3R2;ADCY2;PIK3R1;ADCY1;ADIPOR1;FOXO3;ADIPOR2;ADCY7;FOXO1;ADCY6;CAMKK2;NRAS;EIF4EBP1;EIF4EBP2;PPARGC1A;EIF4E;ATG5;HSPA8;INSR;HSPA2;IGF1;SOD2;NFKB1;MTOR;RPS6KB1;RHEB;RPS6KB2;KRAS;HSPA1B;HSPA1A
Chronic myeloid leukemia	54/76	6.28451349944138e-09	6.91296484938552e-08	0	0	3.98786840876157	75.3116023653136	RB1;CDKN1A;CDKN1B;PIK3CB;CRKL;IKBKB;CCND1;MECOM;AKT2;MYC;AKT3;AKT1;POLK;MAP2K1;CHUK;TGFBR1;RUNX1;TGFBR2;BCR;PIK3CA;RAF1;SOS1;CRK;SOS2;TP53;SHC4;HDAC2;CTBP2;CTBP1;SHC1;PIK3R3;PIK3R2;PIK3R1;CBL;NRAS;ABL1;E2F1;E2F2;MAPK1;E2F3;MAPK3;STAT5B;SMAD4;TGFB2;SMAD3;CDKN2A;BRAF;NFKB1;CDK6;CDK4;MDM2;GRB2;KRAS;BCL2L1
Human papillomavirus infection	177/331	1.00713077645902e-08	1.07091572563475e-07	0	0	1.87777547840483	34.5765601141349	RB1;MAML1;TNC;PPP2R2A;UBE3A;FZD10;RBPJ;CCND3;TBK1;CCND2;PPP2R1B;CCND1;PPP2R1A;AKT2;AKT3;CREB3L2;AKT1;EP300;ATP6V1E1;PRKACA;PRKACB;IFNAR2;MAGI1;ATP6V1G1;MAP2K1;ATP6V0E1;WNT5B;WNT5A;SCRIB;TSC1;HLA-A;CCNE2;COL4A2;CCNE1;COL4A1;COL4A6;TBPL1;COL4A5;MAML3;ATP6V0D1;RAF1;TP53;LLGL2;IFNAR1;ATP6V1A;NOTCH2;NOTCH3;NOTCH1;PXN;UBR4;PIK3R3;PIK3R2;PIK3R1;PSEN1;FOXO1;ATP6V0A2;EIF4EBP1;DVL3;FADD;ATP6V1D;ATP6V1C1;WNT4;WNT10B;CREBBP;FZD3;FZD2;JAG1;FZD4;WNT3A;FZD6;FN1;EIF2AK2;FZD8;PTK2;NFKB1;COL1A1;DLG1;COL1A2;CDK6;DLG2;CDK4;RHEB;CDK2;ITGA11;COL9A1;GNAS;MDM2;GRB2;PALS1;GSK3B;CDKN1A;CDKN1B;WNT2B;ITGB4;PTEN;CHD4;FASLG;LAMC2;LAMC1;PIK3CB;IKBKB;LFNG;CASP8;HEY1;PPP2R5E;CASP3;HEY2;ITGB8;ITGAV;ITGB6;JAK1;ATP6V0B;TBP;CHUK;ITGA4;ITGA2;ITGA1;PPP2R5A;PPP2R5D;TYK2;WNT9A;AXIN2;PPP2R5C;CCNA2;RBL2;CREB1;PKM;RBL1;IRF3;PIK3CA;NFX1;TRAF3;IRF1;COL6A1;ATP6V1B2;ITGA8;ITGA6;ITGA5;SOS1;SOS2;IRF9;CREB5;ITGA9;PTGER4;HDAC2;LAMA3;PTGS2;THBS1;EGFR;PPP2CA;CDC42;PPP2CB;NRAS;PARD6B;RELN;E2F1;MAPK1;HES1;MAPK3;TCF7L2;TCF7L1;LAMB3;CSNK1A1;STAT1;STAT2;WNT7A;LAMB1;MTOR;VEGFA;PPP2R2C;RPS6KB1;PPP2R2B;PPP2R2D;RPS6KB2;CTNNB1;FAS;KRAS
TGF-beta signaling pathway	63/94	1.39563265310045e-08	1.43615102044853e-07	0	0	3.30329047574476	59.7477145554207	BMPR2;ZFYVE9;PPP2R1B;PPP2R1A;MYC;EP300;NEO1;SKP1;ACVR1;TGIF1;LEFTY1;TGIF2;FST;NOG;RGMB;DCN;RHOA;TGFBR1;RGMA;TGFBR2;RBL1;TFDP1;ZFYVE16;NBL1;ROCK1;CUL1;ACVR1B;LTBP1;THBS1;PPP2CA;PPP2CB;ACVR1C;MAPK1;E2F4;E2F5;MAPK3;SMAD2;SMAD1;CDKN2B;CREBBP;SMAD4;TGFB2;SMAD3;SMURF2;SMURF1;BMP8A;INHBB;GDF6;ACVR2B;SMAD5;ACVR2A;BMP6;SMAD7;BMP4;BMP2;RPS6KB1;BAMBI;SP1;RPS6KB2;ID4;BMPR1B;BMPR1A;FBN1
Wnt signaling pathway	99/166	1.69084684399137e-08	1.6855629476039e-07	0	0	2.40616161176624	43.0593478215464	CTNND2;FZD10;CCND3;CCND2;FRAT2;CCND1;MYC;CCN4;EP300;BTRC;PRKACA;MAP3K7;PRKACB;SKP1;TLE4;RNF43;TLE3;CSNK2A1;WNT5B;FBXW11;PRKCB;CTNNBIP1;WNT5A;DKK2;DAAM1;TBL1XR1;ROR1;TP53;CTBP2;CTBP1;CUL1;PSEN1;NLK;PORCN;PPP3R1;DVL3;WNT4;WNT10B;CREBBP;FZD3;JUN;SMAD4;FZD2;SMAD3;FZD4;WNT3A;FZD6;SIAH1;NFATC3;FZD8;NFATC2;NFATC1;FOSL1;VANGL1;VANGL2;BAMBI;INVS;GSK3B;WNT2B;CHD8;CBY1;PPP3CA;PPP3CB;PPP3CC;RSPO2;RSPO3;RAC1;MMP7;AXIN2;WNT9A;SENP2;RHOA;PLCB4;PLCB1;PPARD;CAMK2D;ROCK2;CAMK2A;LEF1;PRICKLE2;PRICKLE1;CXXC4;NKD1;LRP6;MAPK9;MAPK8;ZNRF3;WIF1;GPC4;TBL1X;CAMK2G;TCF7L2;TCF7L1;CSNK1A1;RYK;WNT7A;MAPK10;CTNNB1;LGR4
Hepatitis B	97/162	1.77082766738061e-08	1.71180007846793e-07	0	0	2.42984387102034	43.3708511034267	RB1;ATF2;TBK1;AKT2;MYC;AKT3;CREB3L2;AKT1;EP300;MAP3K7;MAP2K3;MAP2K4;MAP2K1;PRKCB;HSPG2;CCNE2;CCNE1;VDAC3;RAF1;TP53;IFNAR1;PIK3R3;PIK3R2;PIK3R1;IRAK1;FADD;MAP2K7;STAT5B;CREBBP;JUN;SMAD4;TGFB2;EGR3;SMAD3;NFATC3;NFATC2;BRAF;NFATC1;NFKB1;IL6;MAVS;CDK2;BCL2;CYCS;GRB2;TAB2;MYD88;CDKN1A;CXCL8;DDX3X;YWHAB;FASLG;PIK3CB;IKBKB;CASP8;YWHAQ;CASP3;JAK3;JAK1;APAF1;CHUK;FOS;IRAK4;TYK2;MMP9;YWHAZ;TGFBR1;TGFBR2;CCNA2;DDB1;CREB1;IRF3;PIK3CA;TRAF3;BIRC5;SOS1;SOS2;CREB5;PCNA;MAPK9;MAPK8;NRAS;E2F1;E2F2;MAPK1;E2F3;BID;MAPK3;MAP3K1;STAT1;STAT2;STAT3;MAPK14;MAPK13;MAPK10;FAS;KRAS
